Reference,Summary,G-eval,BLEU,BLEU-CN,METEOR,BERTSCORE,SIDESCORE,ROUGE-1,ROUGE-2,ROUGE-L
Return a convert - to - tensor func given a name config callable etc .,"Determines the appropriate conversion function for a given identifier, which can be a string, dictionary, property, or callable.",4,1.7352,6.7254,15.8228,54.7482,98.4972,26.67,0.0,26.67
Plot randomized benchmarking data .,"Plots randomized benchmarking data including individual sequences as gray x's, average sequence fidelity with error bars in red, and the fitted survival probability curve in blue.",4,4.5099,7.5701,64.5333,62.0762,99.9679,19.35,13.79,19.35
Returns a generator with all environmental vars with prefix PIP_,Retrieve environment variables with a specific prefix and yield them as lowercase keys without the prefix.,5,1.9657,8.1097,18.6916,55.2049,-14.5146,23.08,0.0,15.38
Creates a CNAME record attached to this hosted zone .,Creates a CNAME record with the specified parameters and adds it to the DNS record set.,5,15.8445,21.3458,47.7674,66.4111,-20.7608,40.0,26.09,40.0
issue wakeup command to device to take out of standby mode .,"Attempts to wake up the connected weather station by sending newline characters and checking for an acknowledgment. If the expected acknowledgment is not received after three attempts, a NoDeviceException is raised.",4,0.9962,3.5777,7.0423,47.9873,99.9379,4.76,0.0,4.76
Loads several items from an iterable,"Processes a tuple containing a message and an item, and optional args and kwargs, to load them using the load method. Raises an error if the tuple contains more than four elements.",4,0.7987,2.8377,16.6667,48.089,99.8427,5.26,0.0,5.26
Estimates the beats using librosa .,Estimate the beats of the audio track by separating harmonic and percussive components and then tracking the beats.,4,3.4385,8.5848,43.2363,66.2732,-12.9894,17.39,9.52,17.39
Updates a logical interface .,Updates a logical interface with the given parameters and handles the response.,4,20.448,27.082,83.4483,73.0039,-22.3636,50.0,42.86,50.0
Ensure that the path or the root of the current package ( if path is in a package ) is in sys . path .,"The function add_path adds the specified path to sys.path if it's not already present, and recursively adds the parent directory if it contains an __init__.py file. It also adds any specified source directories from the config to sys.path.",4,1.142,7.3924,13.1086,56.7513,27.1029,25.0,3.23,21.88
Converts py_zipkin s Endpoint to Protobuf s Endpoint .,Converts an endpoint object to a protobuf Endpoint message.,5,3.6713,15.514,32.967,72.3508,-28.3207,55.56,0.0,55.56
Register Flask blueprints .,"Registers multiple blueprints to the Flask application for different components like public, genes, cases, login, etc.",4,1.6475,6.5047,35.0877,58.5246,99.9858,21.05,0.0,10.53
Return the first n characters from the queue without removing them . Throws an error if there are less than n characters in the queue . Equivalent to :: s = queue [ : n ] if queue where a regular string .,Peeks at the first n bytes in the queue without removing them.,5,4.9583,6.3326,20.2567,66.6081,29.8069,38.3,31.11,34.04
Return a tuple with the process RSS and VMS size .,"Retrieves memory information for a process, returning resident set size and virtual memory size.",5,4.5799,11.6784,37.0773,57.8927,99.8241,33.33,0.0,33.33
Return True if given Distribution is installed in user site .,Determine if the distribution is installed in the user site directory,5,28.9978,37.2647,61.1317,71.1341,17.0457,66.67,42.11,66.67
Use SoftmaxNormal quantiles to form quadrature on K - 1 simplex .,Creates a quadrature scheme based on quantiles of a softmax-normal distribution for numerical integration.,4,2.3464,9.9415,16.2602,67.6318,-5.971,24.0,0.0,16.0
Prepares and runs an SQL query for the history database .,Execute a SQL query with specified parameters and return the results.,5,6.0039,15.8512,33.5135,62.8849,-50.4782,38.1,10.53,28.57
Returns an image tensor .,"Reads an image from a file, decodes it, converts its data type to float32, and returns the image tensor.",4,6.8588,11.3107,65.5882,65.2671,99.3183,34.78,19.05,26.09
Given an list of words this function highlights the matched text in the given string .,Apply syntax highlighting to the provided string using the specified keywords and CSS class name.,4,2.2225,9.2875,21.875,56.5456,-7.7446,20.0,0.0,13.33
Transform a 0 - D or 1 - D Tensor to be 1 - D .,"Expands a scalar to a vector or ensures the input is a vector, with optional validation.",4,2.0136,8.208,15.4321,56.1326,99.9287,21.43,0.0,14.29
Handles display of the options menu .,Invoke the options view for an already initialized object within a modal dialog.,5,4.5665,11.8357,33.189,60.1237,-9.6001,21.05,11.76,21.05
The return value for each rule can be either retyped compressed or left alone . This method determines that and returns the source code text for accomplishing it .,"Retrieves the transformation for a rule based on directives, supporting retype, compress, and identity transformations.",4,1.2023,4.9749,12.5,53.8438,99.7772,19.05,0.0,19.05
Runs Picard MarkDuplicates on a BAM file . Requires that the BAM file be coordinate sorted .,Use Picard's MarkDuplicates to mark duplicates in a BAM file within a Toil job environment.,5,8.7835,15.0938,25.0817,69.2237,88.2867,32.26,13.79,32.26
Patch the three methods belonging to IPushProducer onto the transport if it doesn t already have them . ( Agent assumes its transport has these . ),"Patches the given transport object to ensure it has pauseProducing, resumeProducing, and stopProducing methods.",5,1.3491,5.7507,17.3077,55.682,40.2726,32.43,0.0,21.62
Takes a FunctionBody and optionally a FunctionType yielding the string representation of the function line by line . The function type is required for formatting function parameter and return value information .,Generates and yields formatted WebAssembly function definition lines.,5,0.263,1.6078,10.101,55.5509,-57.0755,10.53,0.0,10.53
Get summary and description of this notebook,Extracts the header and description from the first markdown cell of a Jupyter notebook,5,4.9071,12.7182,40.9903,54.8435,23.0614,38.1,10.53,38.1
Indicate whether an input line has ( i . e . ends in or is ) a comment . This uses tokenize so it can distinguish comments from # inside strings .,Check if the given source code contains any comments.,5,0.3091,1.7472,3.3557,55.0157,9.893,5.88,0.0,5.88
prefixed topic for IOPub messages,Generate a topic string based on the internal ID or kernel identity.,5,1.8724,8.1825,8.6207,53.8963,-36.1649,11.76,0.0,11.76
Attempts to list all of the modules and submodules found within a given directory tree . This function recursively searches the directory tree for potential python modules and returns a list of candidate names .,Recursively discover module directories containing an __init__.py file,5,0.0979,2.2177,4.644,51.1455,-73.6427,4.76,0.0,4.76
Filter key events for the underlying text widget to create a console - like interface .,"Implements a custom event filter for a widget, handling key press events for navigation and editing, and other events like mouse presses and releases.",4,3.187,7.6229,23.3918,58.7423,96.967,36.84,5.56,26.32
Create a new code cell with input and output,Create a new code cell for a Jupyter notebook with optional code and prompt number,4,26.7603,31.8236,36.4583,66.2768,14.1032,58.33,36.36,58.33
Compute Area Under the Curve ( AUC ) from prediction scores .,"Calculates the ROC AUC score using sklearn's roc_auc_score function, handling exceptions by returning 0.",5,1.9657,6.5047,16.0,54.636,99.9802,15.38,0.0,15.38
Crop an image given the top left corner .,"Crops the image starting from (start_x, start_y) to a window of size (h, w) and returns a copy of the cropped area.",5,1.2589,4.0822,18.1818,53.9525,99.9809,12.5,0.0,12.5
Produces a new game state in which the robots have advanced towards the player by one step . Handles the robots crashing into one another too .,"The advance_robots method updates the state of robots by moving them towards the player, handling crashes, and removing crashed robots.",4,6.1938,10.6335,22.5564,57.5636,99.9879,39.13,9.09,26.09
Checks whether path belongs to standard library or installed modules .,Determine if the given module path is within the standard library or site-packages directory.,5,9.5352,16.4519,44.8343,70.6831,-9.3632,32.0,17.39,32.0
Check if table exists,Determines if a specified table exists within a given database by attempting to retrieve it and returning a boolean result based on the success of the operation,4,2.4939,5.9652,40.5644,49.4776,-28.3881,19.35,6.9,19.35
Delete the vacation with name vacation,Deletes a vacation from the thermostat with the given index and vacation name,5,2.7999,12.2357,44.7761,64.4429,49.5522,52.63,0.0,31.58
Returns all transfers associated with the seed .,"The get_transfers method retrieves transfers for a given seed, with optional parameters for start, stop, and inclusion of states.",5,1.7352,6.17,31.5789,48.9985,45.9499,29.63,0.0,14.81
Write the data encoding the QueryResponsePayload object to a stream .,"Serialize the QueryResponsePayload object into bytes and write it to the output buffer, considering the KMIP version for conditional serialization of attributes.",4,6.4629,10.9564,38.9912,72.9391,99.9529,37.5,13.33,25.0
Insert size bytes of empty space starting at offset .,"Inserts a specified number of bytes at a given offset in a file object, using mmap if available or manual byte shifting with a buffer.",4,1.5182,5.6994,25.641,54.9875,7.4421,23.53,0.0,17.65
Takes a python cls and creates a type for it in the Dagster domain .,"Create a Dagster type by decorating an existing Python type with additional properties like name, description, input/output schema, serialization strategy, and storage plugins.",4,1.5415,5.3529,29.4228,57.9386,98.5979,26.32,0.0,15.79
The url on jupyter nbviewer for this notebook or None if unknown,"Retrieves the URL from the notebook metadata or the instance variable, and returns a nbviewer formatted link.",4,3.9069,9.7542,19.685,55.5137,99.4523,34.48,7.41,27.59
Save a small version of the graph based on a checkpoint and the output node names .,Extract and save the graph from a TensorFlow checkpoint file to a specified output file path.,5,5.0147,12.6923,26.4706,63.0783,-61.0069,50.0,6.67,37.5
Copy an existing notebook and return its notebook_id .,Creates a copy of the specified notebook and saves it with an incremented filename.,5,4.8638,12.5008,44.4155,64.2275,-23.1841,34.78,9.52,26.09
Display debug information for the storage,"Function to assist in debugging by printing information about a storage object to stderr with options for base info, characters, and runs.",4,1.4247,5.4303,25.3165,57.0328,99.9793,21.43,0.0,14.29
Get alerts that match the alert type and args .,"The _get_recursive_difference method returns a list of differences between dictionary items based on the specified type ('intersect', 'added', 'removed', or 'all').",5,1.1908,4.0131,12.3967,42.2896,99.5205,18.75,0.0,18.75
Creates a full mapping from all wildcard translations to the corresponding wildcards,"Updates the mapping of reversed wildcards to their corresponding indices in the sequence, starting from a given index or from the beginning if no index is provided.",4,1.5559,5.7603,25.5474,60.6528,99.9667,35.9,0.0,15.38
Santizes the data for the given block . If block has a matching embed serializer use the to_internal_value method .,Sanitizes the block by using the appropriate serializer for its type to convert the block's data to a valid internal format.,5,2.0635,8.0293,27.0936,61.3515,99.986,52.38,0.0,28.57
Set whether we stop or not when this signal is caught . If set_stop is True your program will stop when this signal happens .,The function handle_stop sets or clears a stop flag for a given signal name and optionally sets a print method and pass_along flag.,4,1.5192,6.8333,10.0402,52.3887,26.1879,16.33,0.0,16.33
return a class by its name raise KeyError if not found,"Searches for a class with the specified name among the classes and returns it, or raises a KeyError if not found.",4,12.7408,17.1211,67.9098,66.9585,99.9685,43.75,26.67,43.75
Deletes items from the index with the given id within the specified coordinates .,Deletes data from an index within specified coordinates.,5,10.2466,18.8147,42.4036,84.2357,44.8696,57.14,10.53,57.14
Trace the dependencies for app .,"This function traces a given app's dependencies using a subprocess to run 'trace-deps.js', caches the result, and returns the dependency information.",5,1.4817,5.1922,31.25,51.3759,99.9928,27.59,0.0,13.79
Return standard output of executing cmd in a shell .,"Execute a command using subprocess and return its output, handling exceptions.",4,2.648,11.5718,24.2718,56.5185,99.9672,30.0,0.0,20.0
Get Gnosis Safe Master contract . It should be used to access Safe methods on Proxy contracts .,Retrieve or create a Web3 contract instance for Gnosis Safe with the given address and predefined ABI and bytecode.,5,3.5248,8.7448,10.989,49.9221,-61.5238,17.14,6.06,11.43
Defines a list of headers that must be present in the outgoing request in order to satisfy the matcher no matter what value the headers hosts .,Add a matcher to check if specific headers are present in the request,5,4.2361,7.9232,22.8106,62.3775,39.7014,41.03,10.81,30.77
Determines if a BoundMethod node represents a method call .,Checks if the provided function is a method call on specified types and methods.,5,9.5352,16.4519,42.4762,68.2268,-16.0401,34.78,19.05,34.78
Returns a batch of points chosen uniformly from the unit hypersphere .,Generates a tensor with samples drawn from a normal distribution and normalizes it to have a unit norm along the specified dimension.,5,1.7352,6.7254,19.084,61.5963,6.316,24.24,0.0,18.18
Check if the given node is from a fallback import block .,"Determines if a node is within a try-except block that serves as a fallback, typically for handling failed imports.",4,4.6102,10.5803,48.9341,67.6612,99.9857,38.71,13.79,32.26
Like : meth : Flask . before_request . Such a function is executed before each request even if outside of a blueprint .,Register a function to run before each request in the application.,5,5.5698,8.6313,23.3384,59.6559,-32.7108,33.33,21.43,33.33
Fast CuDNN Bi - GRU implementation,"Defines a bidirectional GRU layer using CuDNN, with options for sequence length, number of layers, and trainable initial states.",4,1.38,5.3485,12.987,57.6019,99.996,16.67,0.0,8.33
Generate an XML report of coverage results .,"Generates an XML report for the coverage data, handling output file creation and error cleanup.",4,8.3921,14.4213,63.2022,71.7432,99.3864,36.36,20.0,36.36
Create a Python Layer base on the given java value and the real type .,"The function 'of' dynamically loads a BigDL class from a Java value, mapping Java class names to Python class names, and instantiates the corresponding Python class.",4,2.8961,6.8404,24.2424,53.8821,99.9458,35.0,5.26,25.0
Resume playback on the user s account .,Resume playback on a given device or the default one.,5,13.191,22.9099,53.7349,65.1623,-53.8471,47.06,26.67,47.06
Attempt to get the access token from the environment .,"Retrieve the access token from the environment variable, with support for legacy variables and a deprecation warning.",5,25.9217,29.5299,63.4713,67.1281,99.9401,46.15,41.67,46.15
Sanitize URL of a HTTP request by removing the token information before storing / retrieving archived items,The function sanitize_for_archive sanitizes the URL by replacing the bot user ID with 'botXXXXX/' and returns the sanitized URL along with the unchanged headers and payload.,5,1.2963,4.6383,17.4378,55.5244,99.9825,18.18,0.0,18.18
Remove a websocket subscriber .,Remove a WebSocket subscriber from the list of subscribers and from all event subscriptions.,5,17.3958,23.2665,80.6667,79.1374,37.9482,44.44,37.5,44.44
Backward update for a Kalman smoother .,Perform a backward smoothing update step in a Kalman filter.,5,6.5271,17.4078,50.2703,73.8177,-5.5306,50.0,14.29,50.0
Plot training set ( and validation set if available ) scoring history for an H2OBinomialModel .,"The function 'plot_predict' generates a forecast plot using the estimated model, including confidence intervals if specified.",4,1.7911,6.5047,9.2025,50.2324,99.902,13.33,0.0,13.33
Create the python script from the notebook node,"Convert a Jupyter notebook to a Python script, adjust logging level, and comment out IPython magic commands.",5,3.2802,8.138,27.7778,59.7719,99.9658,24.0,8.7,16.0
Removes all points in the fronts that overlap with the segmentation mask .,"The function _remove_overlaps takes a segmentation mask and fronts, identifies overlapping non-zero pixels between them, and sets those pixels to zero in the fronts array.",4,6.143,9.0466,36.6918,57.1722,67.7367,30.77,16.22,15.38
This will exclude all of the modules from the traceback,Add specified modules to the list of skipped modules and override the traceback.extract_tb function.,4,2.3464,9.7542,19.0476,54.581,-67.8234,38.46,8.33,30.77
Returns initializer configuration as a JSON - serializable dict .,"Returns a dictionary containing the serialized initializers, layer sizes, and a flag indicating if arguments should be validated.",5,1.6475,6.5047,18.018,56.6175,99.9638,15.38,0.0,15.38
Given a URL set or replace a query parameter and return the modified URL .,Set or replace a query parameter in the URL and return the modified URL.,5,66.0633,68.4866,86.1341,83.6913,57.2655,85.71,69.23,78.57
Plot alpha versus the ks value for derived alpha . This plot can be used as a diagnostic of whether you have derived the best fit : if there are multiple local minima your data set may be well suited to a broken powerlaw or a different function .,"Plots the relationship between alpha values and KS statistics, with optional zooming, using pylab.",4,0.3216,1.4729,7.6419,49.445,99.7513,10.0,0.0,6.67
PUTs the container and returns the results . This is usually done to create new containers and can also be used to set X - Container - Meta - xxx headers . Note that if the container already exists any existing X - Container - Meta - xxx headers will remain untouched . To remove an X - Container - Meta - xxx header send the header with an empty string as its value .,"Create or update a container with optional headers, query parameters, and body, and specify if it's a CDN container.",4,0.2317,0.9693,7.1531,50.1593,99.9645,19.51,0.0,12.2
Compute exponentially weighted moving { mean variance } of a streaming value .,Assigns the moving mean and variance to the given variables with specified decay.,5,2.487,10.6947,15.2672,60.4438,11.4099,26.09,9.52,26.09
Decoding using the dot product .,"Calculates the dot product between the transposed images to decode and the feature images, returning the transposed result.",4,6.7379,11.5088,50.2703,61.3055,99.8285,26.09,19.05,26.09
Decode the data passed in and potentially flush the decoder .,"The _decode method attempts to decompress data if decode_content is True and a decoder is available, handling exceptions and flushing the decoder if required.",4,3.0694,6.8502,50.5,57.9289,99.9699,34.29,6.06,28.57
Gets tweets for a given user via the Twitter frontend API .,Fetches tweets from a user's timeline and yields them with metadata such as interactions and media entries.,5,1.9246,7.7573,29.2913,64.6935,99.9627,20.69,0.0,20.69
Generator for the lines of a compressed info ( textual ) response .,"Generates decoded and decompressed data from yEnc encoded input, handling errors and verifying CRC.",4,1.5715,6.5673,7.5188,53.0158,-9.1062,0.0,0.0,0.0
Generate recursive Python Attribute AST nodes for resolving nested names .,Recursively construct an AST Attribute node from a dotted attribute string.,5,2.6381,11.7312,22.5225,68.7631,-19.2042,19.05,0.0,9.52
Open the HTML document in a web browser saving it to a temporary file to open it . Note that this does not delete the file after use . This is mainly meant for debugging .,Writes an XML/HTML document to a temporary file and opens it in the default web browser.,4,6.4794,10.6884,29.447,67.5126,99.9361,44.0,20.83,32.0
r Return True if at least one GPU is available,Check if a GPU is available and cache the result for future reference.,5,9.6822,16.7382,36.0577,57.3378,-24.8379,34.78,19.05,34.78
Get crate data,Fetches data for a specific crate by its crate_id.,5,2.7896,10.6003,40.5405,46.9583,-44.3641,30.77,0.0,15.38
Get current learning rates .,Retrieves the current learning rate from the optimizer's parameter groups.,5,5.2841,13.9508,65.7895,65.6854,99.9434,26.67,15.38,26.67
** Description ** Deletes a team from Sysdig Monitor .,"The function 'delete_team' attempts to delete a team by its name, returning a tuple with a boolean success flag and an error message if applicable.",4,2.4128,5.3529,14.7059,45.4552,99.9863,12.12,6.45,12.12
Downloads and parses the price,Downloads and adds the price of a given symbol using a specified agent and currency,4,5.4703,13.0837,52.6042,62.1657,10.5759,40.0,22.22,40.0
Create message content and properties to purge queue with QMFv2,Purge the specified queue on the given virtual host.,5,2.7896,12.9099,10.0,53.7337,22.8434,21.05,0.0,21.05
Returns the movement vector according to held buttons and the rotation .,Calculate the motion vector based on the actor's rotation and movement direction,5,2.9305,12.8063,24.7934,70.837,25.8483,50.0,0.0,33.33
Load from a file into the target table handling each step of the load process .,"Loads data from a file into a database table, handling various configurations such as delimiters, null representation, and date parsing, with error checking and logging.",4,8.9393,12.3134,30.5765,57.3378,99.988,30.0,21.05,30.0
Fetch additional data under * index * .,Fetch more data for a model item and update the view with new rows if available,4,1.8689,7.8098,11.3636,55.4153,9.3413,19.05,0.0,19.05
Updates the suggestions dictionary for an object upon visiting its page,Updates the suggestions dictionary with the viewed objects for authenticated users or guests.,4,18.7983,25.0294,37.7335,63.3129,-7.5949,41.67,27.27,41.67
Use parse_version from pkg_resources or distutils as available .,Dynamically import and use the appropriate parse_version function from either pkg_resources or distutils.version based on availability.,4,4.5313,26.2193,58.4132,79.2097,-23.6519,55.17,29.63,55.17
Attempt to sum MultivariateNormal distributions .,"This function sums multiple MultivariateNormalDiag distributions, returning a new MultivariateNormalDiag distribution with the summed means and the square root of the summed variances.",4,1.2873,4.9068,18.9873,64.8294,99.9581,7.14,0.0,7.14
Apply crz from ctl to tgt with angle theta .,Appends a controlled rotation around the Z-axis by an angle theta to the circuit.,5,4.5999,11.8225,30.0595,56.0021,13.0638,25.0,9.09,16.67
Build an xsd simpleType out of a S_CDT .,Builds an XML schema simpleType element based on the core data type provided.,5,2.3144,9.9526,33.2237,61.8415,-29.4918,18.18,0.0,18.18
Apply filters to deprecation warnings .,This function configures the warnings filter to always show deprecation warnings originating from qiskit and to ignore warnings of type ChangedInMarshmallow3Warning.,4,3.23,7.9204,32.8947,56.2212,-21.8686,23.08,8.33,23.08
builds a list of input files from command - line arguments,"Generates a list of file paths from command line arguments or provided arguments, including wildcard expansion and file existence check.",5,8.3793,13.6223,58.0449,72.0346,99.971,46.67,35.71,46.67
Like pairwise except returns n - tuples of adjacent items . s - > ( s0 s1 ... sn ) ( s1 s2 ... s ( n + 1 )) ...,Creates an iterator that returns n-tuples of consecutive elements from the input iterable.,5,0.6398,2.0094,4.9669,55.438,-15.3484,25.0,20.0,25.0
\ Respond to periodic PING messages from server,The handle_ping method logs a 'server ping' message with the payload and sends back a 'PONG' response with the payload.,5,1.1604,4.1262,10.5263,56.2812,99.9704,14.29,0.0,14.29
Create and return a new instance in the metamodel of some * kind * . Optionally initial attribute values may be assigned to the new instance by passing them as positional or keyword arguments . Positional arguments are assigned in the order in which they appear in the metaclass .,Creates a new instance of a specified kind using the determined metaclass.,5,0.7991,1.6468,14.8655,60.8791,-53.8714,24.56,7.27,24.56
Parse a StackExchange API raw response .,Parses a JSON string containing questions and yields each question.,5,2.5685,11.6413,34.5345,57.2784,-47.9628,12.5,0.0,12.5
Enable or disable automatic rate - limit handling .,Set the behavior for rate limit waiting.,5,3.3216,16.3557,16.8539,66.8643,53.5671,28.57,16.67,28.57
Input text short or long . Writes in order within the defined page boundaries . Sequential add_text commands will print without additional whitespace .,"Adds text to a PDF page, handling newlines and text justification.",4,1.0573,4.5722,6.5502,56.085,99.9317,18.18,0.0,18.18
Write the data required by PrecalculatedTextMeasurer to a stream .,Write character length and kerning information to a JSON file.,5,6.1729,16.4632,31.25,62.617,2.2478,31.58,11.76,31.58
Convert a parse tree node into an absract syntax tree node .,Converts a parse tree node to an abstract syntax node (ASN) based on its type.,5,15.9892,21.6046,54.6247,73.6519,5.5179,53.85,25.0,53.85
Open the SolveBio shell ( IPython wrapper ) with IPython 5 +,Launches an IPython shell with a custom banner and initialization file.,5,2.6381,11.7312,12.5,64.0709,-85.0014,30.0,0.0,20.0
Return a list with the current indexes Skip the mandatory _id_ indexes,"Retrieve a list of index names for the specified collection, excluding the default '_id_' index.",5,3.8837,13.5205,33.8404,65.9126,99.9405,37.04,8.0,37.04
Parses the Xdot attributes of all graph components and adds the components to a new canvas .,Parses and redraws the canvas with nodes and edges using xdot data.,4,2.1543,9.6236,18.0723,64.2439,-49.837,35.71,0.0,28.57
Parses the dot_code string and replaces the existing model .,Parses the 'dot_code' attribute using the 'GodotDataParser' and sets the parsed graph to the 'model' attribute if a graph is successfully parsed.,5,2.9326,7.8594,25.8621,63.8918,96.6709,42.42,19.35,42.42
Compute based on NeuralVariable .,"Compute the output of a neural network layer or block given the input tensors, ensuring they are NeuralVariable instances, and return the result as a NeuralVariable or list of NeuralVariables.",4,1.1303,4.0822,19.2308,58.8126,99.977,11.76,0.0,11.76
Sets the process environemnt and executes the [ COMMAND ] in the same context . Does not modify the current shell environment .,"Execute a command with S3 configuration and environment variables, handling exceptions and logging appropriately.",5,1.4349,6.1528,11.2108,55.1332,99.7628,18.18,0.0,12.12
e [ COMMAND ] in the same context . Does not modify the current shell environment .,"Execute a command with S3 configuration and environment variables, handling exceptions and logging appropriately.",5,1.9429,8.1493,8.8757,54.1862,24.9008,14.81,0.0,14.81
