Reference,Summary,G-eval,BLEU,BLEU-CN,METEOR,BERTSCORE,SIDESCORE,ROUGE-1,ROUGE-2,ROUGE-L
Indicate whether an input line has ( i . e . ends in or is ) a comment . This uses tokenize so it can distinguish comments from # inside strings .,Check if the given source code string contains any comments.,3.4062576123365083,0.5234,2.7762,4.2553,56.7616,71.3445,5.71,0.0,5.71
prefixed topic for IOPub messages,Generate a byte string representing a topic with a prefix based on the internal ID or kernel identity.,4.987395394379621,1.4238,5.8039,15.873,53.2536,76.3719,8.7,0.0,8.7
Attempts to list all of the modules and submodules found within a given directory tree . This function recursively searches the directory tree for potential python modules and returns a list of candidate names .,Recursively discover and return a list of modules in a directory,4.981437334878857,2.0078,4.1195,22.3465,67.0796,95.8785,36.36,9.52,22.73
Filter key events for the underlying text widget to create a console - like interface .,"Handles key press events in a console-like widget, providing features like copy, cut, paste, execution of commands, text navigation, and custom key bindings for text manipulation.",4.651487850386816,5.9484,10.0323,34.7733,60.9748,77.7957,39.02,10.26,24.39
Create a new code cell with input and output,Create a new code cell for a Jupyter notebook with optional code and prompt number,4.915755202548166,26.7603,31.8236,36.4583,66.2768,81.314,58.33,36.36,58.33
Compute Area Under the Curve ( AUC ) from prediction scores .,"Calculate the ROC AUC score using sklearn's roc_auc_score function, handling exceptions by returning 0.",4.981923826449303,1.8689,7.8098,15.4639,55.4271,81.0185,16.0,0.0,16.0
Crop an image given the top left corner .,"Crops the image to a rectangle defined by starting coordinates (start_x, start_y) and dimensions (h, w)",4.996811005470654,1.6932,6.9021,16.6667,53.1758,95.9572,15.38,0.0,7.69
Produces a new game state in which the robots have advanced towards the player by one step . Handles the robots crashing into one another too .,"Advance the state of robots by moving them towards the player, handling crashes, and updating the robot list to remove crashed ones.",4.980586350088807,6.3566,10.8803,36.6888,58.4505,87.6684,34.04,8.89,25.53
Checks whether path belongs to standard library or installed modules .,Determine if the given module path is within the site-packages directory or matches any of the standard library paths.,4.979874668338111,3.5248,8.7448,38.7626,65.7431,97.7921,26.67,7.14,20.0
Check if table exists,"Checks if a table exists in the specified database by attempting to retrieve it; returns True if it exists, otherwise False if an exception is raised.",4.999924795006894,2.581,6.2017,32.2581,54.6922,83.8549,20.0,7.14,20.0
Delete the vacation with name vacation,Deletes a vacation from the thermostat at the specified index,2.7303143585275147,2.7896,12.9099,23.4375,58.2185,98.8985,25.0,0.0,12.5
Returns all transfers associated with the seed .,Executes a command to retrieve transfer transactions for a given seed within an optional range and inclusion states.,4.890665669883145,1.4238,5.8039,18.5185,56.179,70.5036,8.0,0.0,8.0
Write the data encoding the QueryResponsePayload object to a stream .,Serialize the QueryResponsePayload attributes into an output buffer based on the specified KMIP version.,4.982303950671538,4.5665,11.8357,14.4231,77.5337,63.7272,25.0,9.09,16.67
Insert size bytes of empty space starting at offset .,"Inserts a specified number of null bytes at a given offset in a file object, using mmap if available or manual byte shifting with a buffer if mmap fails.",4.990209825759647,1.3528,5.0082,22.7273,55.4072,96.4013,21.05,0.0,15.79
Takes a python cls and creates a type for it in the Dagster domain .,"Create a Dagster type from an existing Python type, with optional parameters for name, description, input/output schema, serialization strategy, and storage plugins. If no serialization strategy is provided, it defaults to PickleSerializationStrategy.",4.94050160433734,1.397,5.0453,33.4611,56.537,92.6685,29.79,0.0,21.28
The url on jupyter nbviewer for this notebook or None if unknown,"Returns a nbviewer link to the notebook if the URL is set, otherwise returns None.",4.999959692000192,5.0906,13.0837,34.6658,60.5352,91.4602,44.44,8.0,22.22
Save a small version of the graph based on a checkpoint and the output node names .,"Extracts and saves the graph from a TensorFlow checkpoint to a specified file path, optionally in text format.",4.727140788745129,4.2981,10.8023,21.6049,57.8223,72.8221,35.29,6.25,23.53
Copy an existing notebook and return its notebook_id .,"Creates a copy of the specified notebook, assigns it a new name with '-Copy' suffix, and saves it.",4.970143425345489,1.8739,7.6384,20.202,59.9305,97.1995,22.22,0.0,22.22
Display debug information for the storage,Function to debug storage data by printing various levels of information to stderr with support for Python 2 and 3.,4.898109626465644,2.0136,8.208,27.7778,60.8361,87.5181,33.33,0.0,25.0
Get alerts that match the alert type and args .,Retrieve a list of alerts of a specific type where the alert arguments are a subset of the provided arguments.,4.994665618984042,3.5248,8.7448,19.802,60.1168,91.1331,27.59,7.41,20.69
Creates a full mapping from all wildcard translations to the corresponding wildcards,Initializes or updates the reversed wildcard mapping based on the current length of the object and the wildcard functions provided.,4.611470774285273,1.716,6.8432,15.625,60.6617,77.6485,18.75,0.0,12.5
Santizes the data for the given block . If block has a matching embed serializer use the to_internal_value method .,"Sanitizes the block by converting its data using the appropriate serializer for its type, or returns the block unchanged if no serializer is found.",4.997308860299709,1.9398,7.4545,24.5098,59.6397,94.4771,40.91,0.0,31.82
Set whether we stop or not when this signal is caught . If set_stop is True your program will stop when this signal happens .,Method to configure the debugger's signal handling behavior based on a given signal name and a boolean flag indicating whether to stop.,4.665298038412683,1.5712,6.1009,8.3682,51.4908,84.2019,17.02,0.0,8.51
return a class by its name raise KeyError if not found,Retrieves a class from the collection by its name or raises a KeyError if not found.,4.678832378648067,24.6779,31.1166,81.5217,76.6953,79.5386,66.67,48.0,66.67
Deletes items from the index with the given id within the specified coordinates .,Deletes data within a specified range of coordinates from an index structure.,4.970665145492196,2.8864,12.9179,23.2558,77.0564,98.3658,48.0,0.0,32.0
Trace the dependencies for app .,This function traces the dependencies of a given app by executing an external script and caches the results.,4.974400185356847,3.6142,9.0836,31.746,55.0251,64.2841,26.09,9.52,26.09
Return standard output of executing cmd in a shell .,"Execute a command and return its output, handling UNC paths if necessary.",4.997524634328673,2.6381,11.7312,21.5054,53.5825,88.6142,28.57,0.0,19.05
Get Gnosis Safe Master contract . It should be used to access Safe methods on Proxy contracts .,Returns a Web3 contract object for the Gnosis Safe at the specified address with the predefined ABI and bytecode.,4.605534820960891,3.4385,8.5848,9.2025,48.7518,94.4001,17.14,6.06,11.43
Defines a list of headers that must be present in the outgoing request in order to satisfy the matcher no matter what value the headers hosts .,Create a matcher for the presence of specified headers with any values,4.997524627798338,0.9334,4.5405,12.1951,58.4394,78.1154,26.32,0.0,21.05
Determines if a BoundMethod node represents a method call .,Checks if the given function is a bound method of a specified type and has a name that is in the provided list of method names.,4.985677523402898,1.4817,5.6039,34.7664,59.5017,90.033,22.86,0.0,22.86
Returns a batch of points chosen uniformly from the unit hypersphere .,Generates a tensor with the given shape where each slice along the last dimension has a uniform unit norm.,4.903654162106868,1.7911,7.2189,16.9492,58.5913,80.4609,20.0,0.0,20.0
Check if the given node is from a fallback import block .,"Determines if a node originates from a try-except block that serves as a fallback mechanism, by checking for import statements and handlers that ignore ImportError.",4.999446349344407,3.7935,8.4826,42.5625,67.8215,96.0073,37.84,11.43,32.43
Like : meth : Flask . before_request . Such a function is executed before each request even if outside of a blueprint .,Register a function to run before each request in the application.,4.951117597670888,7.0542,12.6395,24.5055,59.6559,73.488,33.33,21.43,33.33
Fast CuDNN Bi - GRU implementation,"Defines a bidirectional GRU layer using cuDNN operations, with options for sequence length, number of layers, and trainable initial states.",4.881308652563306,1.5506,6.1835,15.3846,57.6761,63.6083,16.0,0.0,8.0
Generate an XML report of coverage results .,"Generates an XML report of the coverage data, handling output file creation and error management.",4.99707699776889,17.3958,23.2665,75.4986,73.4422,90.0294,45.45,30.0,45.45
Create a Python Layer base on the given java value and the real type .,Converts a BigDL Java value to its corresponding BigDL Python class.,4.879827036878167,4.6995,12.8216,23.0383,60.7981,56.1328,32.0,8.7,24.0
Resume playback on the user s account .,Resumes playback on the given device using the user's HTTP interface.,4.386737251469205,17.0074,26.2317,78.5185,73.103,96.291,52.63,47.06,52.63
Attempt to get the access token from the environment .,"Retrieve the access token from the specified environment variable, with support for legacy variables and a deprecation warning.",4.837965511872194,21.043,25.2812,59.4837,65.775,92.0078,44.44,32.0,44.44
Sanitize URL of a HTTP request by removing the token information before storing / retrieving archived items,sanitize the URL by replacing the bot user ID with 'botXXXXX',2.711784294532684,1.9388,9.1265,12.9032,60.4762,90.3292,29.63,0.0,29.63
Remove a websocket subscriber .,Remove a WebSocket subscriber from the general subscriber list and from all available events.,4.945668075416925,17.7784,23.6713,75.0,78.5905,96.6692,44.44,37.5,44.44
Backward update for a Kalman smoother .,Perform backward smoothing update in a Kalman filter by computing the smoothed estimate of the current state given the filtered estimate and the smoothed estimate of the next state.,4.696322990612526,2.5115,5.9558,38.0271,61.1652,99.7211,22.86,6.06,22.86
Plot training set ( and validation set if available ) scoring history for an H2OBinomialModel .,"Plots the specified metric over time for a given model, with the ability to run on a server and customize the plot via additional keyword arguments.",3.629433654339356,1.3789,5.215,9.8684,46.9661,69.6123,15.0,0.0,5.0
Create the python script from the notebook node,"Convert a Jupyter notebook to a Python script, adjust logging level, and comment out IPython magic commands.",4.979121240157135,3.8104,9.6441,28.7141,59.7719,82.867,24.0,8.7,16.0
Removes all points in the fronts that overlap with the segmentation mask .,Removes overlapping areas between segmentation mask and fronts by setting the overlapping pixels in fronts to zero.,4.999954182137135,4.5313,11.4688,38.3673,67.3425,97.7386,41.38,7.41,20.69
This will exclude all of the modules from the traceback,Add specified modules to the list of skipped modules and override traceback's extract_tb function.,4.903209491706524,2.2225,9.2875,18.8679,54.0622,75.7862,30.77,0.0,23.08
Returns initializer configuration as a JSON - serializable dict .,"Returns a dictionary containing serialized initializers, layer sizes, and a flag indicating if arguments should be validated.",4.9458706914672455,1.7762,7.3279,16.8539,56.5428,26.9547,16.0,0.0,16.0
Given a URL set or replace a query parameter and return the modified URL .,Set or replace a query parameter in a URL and return the modified URL.,4.999991859504167,65.9692,68.8334,88.2925,84.1436,67.7363,92.86,76.92,78.57
Plot alpha versus the ks value for derived alpha . This plot can be used as a diagnostic of whether you have derived the best fit : if there are multiple local minima your data set may be well suited to a broken powerlaw or a different function .,"Plots the relationship between alpha values and KS statistic, with optional zooming, and returns the axis object.",3.4525722756172854,0.3836,1.74,6.9606,51.7241,87.6273,12.7,0.0,9.52
PUTs the container and returns the results . This is usually done to create new containers and can also be used to set X - Container - Meta - xxx headers . Note that if the container already exists any existing X - Container - Meta - xxx headers will remain untouched . To remove an X - Container - Meta - xxx header send the header with an empty string as its value .,"Create or update a container with optional headers, query parameters, and body content.",4.902941301020854,0.0646,0.3695,4.3783,49.517,88.4096,13.33,0.0,8.0
Compute exponentially weighted moving { mean variance } of a streaming value .,Assign updated moving mean and variance to the variables.,3.0754925681257417,6.2598,17.256,25.8137,64.4817,94.2356,31.58,11.76,31.58
Decoding using the dot product .,"Calculates the dot product between the transposed images to decode and the feature images, and returns the transposed result.",4.703391290897545,6.6015,11.2982,49.3164,59.3893,91.2392,25.0,18.18,25.0
Decode the data passed in and potentially flush the decoder .,"Decompresses data if decode_content is True and a decoder is available, handling potential decompression errors and flushing the decoder if required.",4.922833020688236,3.4153,8.3748,51.1115,62.909,92.956,31.25,6.67,25.0
Gets tweets for a given user via the Twitter frontend API .,"The function get_tweets retrieves tweets from a specified user's timeline on Twitter, parsing the HTML response to extract tweet details such as text, tweet ID, time, interactions (replies, retweets, likes), hashtags, URLs, photos, and videos, and yields them page by page.",4.99937300230405,1.0294,3.54,21.1268,58.322,97.1358,18.52,0.0,14.81
Generator for the lines of a compressed info ( textual ) response .,"This function generates decoded and decompressed data from yEnc-encoded input, handling yEnc headers, trailers, and CRC checks.",2.451125336328829,0.0,0.0,4.6296,49.4236,89.8709,0.0,0.0,0.0
Generate recursive Python Attribute AST nodes for resolving nested names .,Create an AST Attribute node for a dotted attribute name.,4.922619579525204,3.0872,14.2872,37.2,70.8675,48.8453,30.0,0.0,20.0
Open the HTML document in a web browser saving it to a temporary file to open it . Note that this does not delete the file after use . This is mainly meant for debugging .,Converts an XML/HTML document to a temporary HTML file and opens it in the default web browser.,4.72287826844611,4.9855,8.535,30.0595,67.1061,95.5428,43.14,16.33,31.37
r Return True if at least one GPU is available,"Checks if a GPU is available for TensorFlow by attempting to create a session and listing local devices, setting a global flag accordingly.",1.9790835595372536,5.8614,9.9547,33.1858,52.6907,94.8908,24.24,12.9,24.24
Get crate data,Fetches and parses the data for a specific crate by its ID.,4.999082221691271,2.3838,10.6003,38.4615,44.7056,87.0973,26.67,0.0,13.33
Get current learning rates .,Retrieves the current learning rate(s) from the optimizer's parameter groups.,4.612250905231575,4.7748,12.606,61.3426,64.2882,79.6481,25.0,14.29,25.0
** Description ** Deletes a team from Sysdig Monitor .,Delete a team by name and return a tuple indicating success or failure and an error message if applicable.,4.993242953315252,3.1071,7.7573,18.2927,47.5168,98.8981,15.38,8.33,15.38
Downloads and parses the price,Downloads and adds the price of a given symbol using a specified quote agent and currency.,4.760518266239901,5.1509,12.2231,51.7418,61.6804,81.6247,38.1,21.05,38.1
Create message content and properties to purge queue with QMFv2,"Purge a specified queue by creating a content dictionary with the queue details and purge method, then log the message content and return it along with method properties.",4.962482852409521,5.5508,9.3465,53.4958,57.9418,96.6788,36.84,11.11,21.05
Returns the movement vector according to held buttons and the rotation .,Calculate the motion vector based on the actor's rotation and movement direction.,4.999568931531876,2.9305,12.8063,26.7857,72.2076,98.1934,50.0,0.0,33.33
Load from a file into the target table handling each step of the load process .,"Loads data from a file into a database table, handling various configurations such as delimiters, null representation, and date parsing, with error checking and logging of progress.",3.881154731670816,10.738,14.5092,38.966,57.3837,96.8878,33.33,20.0,33.33
Fetch additional data under * index * .,Fetch additional children for a given item and update the model with new rows,4.854210571792747,4.1263,10.6947,31.7797,51.9722,90.8771,21.05,11.76,21.05
Updates the suggestions dictionary for an object upon visiting its page,Updates the user's object view history and suggestions dictionary based on their interactions.,4.421500899575476,6.1703,14.8826,39.469,63.3395,83.2945,40.0,17.39,32.0
Use parse_version from pkg_resources or distutils as available .,Import and use the appropriate parse_version function from either pkg_resources or distutils.version based on availability.,4.997536151509645,17.1815,22.8441,70.9877,80.7187,92.7507,57.14,30.77,57.14
Attempt to sum MultivariateNormal distributions .,This function sums multiple MultivariateNormalDiag distributions by summing their means and combining their scale diagonals in a quadrature fashion.,4.951782276639379,1.3609,5.4852,15.625,65.2916,96.1428,8.33,0.0,8.33
Apply crz from ctl to tgt with angle theta .,"Appends a controlled-RZ gate with an angle theta to the circuit, with ctl as the control qubit and tgt as the target qubit.",4.99997531884527,3.3015,8.0104,40.6085,61.7958,92.3455,36.36,6.45,18.18
Build an xsd simpleType out of a S_CDT .,Builds an XML schema simpleType element based on the provided core data type.,4.976709462398264,2.2267,9.7307,27.1868,62.415,84.8261,18.18,0.0,18.18
Apply filters to deprecation warnings .,Suppresses deprecation warnings originating from the qiskit package and ignores warnings related to changes in the Marshmallow 3 library.,4.987076704584963,3.6142,9.0836,23.8095,64.0826,55.5053,26.09,9.52,17.39
builds a list of input files from command - line arguments,"Generates a list of file paths from command line arguments or provided arguments, expanding wildcards and filtering out non-existent files.",4.966598957242903,17.0011,21.879,67.5676,72.4299,84.8878,51.61,34.48,45.16
Like pairwise except returns n - tuples of adjacent items . s - > ( s0 s1 ... sn ) ( s1 s2 ... s ( n + 1 )) ...,Create an n-wise sliding window iterator from a single iterable.,2.4896851088336707,1.2518,5.9374,3.0488,47.6618,55.5656,7.14,0.0,7.14
\ Respond to periodic PING messages from server,Logs the received ping payload and sends back a PONG response with the same payload.,4.967047850740073,1.6591,7.0297,6.4103,55.3253,95.1932,9.09,0.0,9.09
Create and return a new instance in the metamodel of some * kind * . Optionally initial attribute values may be assigned to the new instance by passing them as positional or keyword arguments . Positional arguments are assigned in the order in which they appear in the metaclass .,Create a new instance of a specified kind using the associated metaclass.,4.88053344192399,0.8647,1.8532,12.7585,61.2896,89.5494,28.07,7.27,28.07
Parse a StackExchange API raw response .,Parse a JSON string from raw_page to extract 'items' and yield each question contained within.,4.993219275891158,4.0308,10.2783,36.5079,57.8902,84.7242,27.27,10.0,27.27
Enable or disable automatic rate - limit handling .,Set the behavior for rate limit waiting.,4.875762399586506,8.1939,22.8395,26.7857,66.8643,93.0247,28.57,16.67,28.57
Input text short or long . Writes in order within the defined page boundaries . Sequential add_text commands will print without additional whitespace .,"Add text to a PDF page with optional cursor position and text justification, handling newlines.",4.850261527925923,2.8846,7.6332,9.3897,57.3779,97.1343,21.62,5.71,16.22
Write the data required by PrecalculatedTextMeasurer to a stream .,Write character length and kerning information to a JSON file.,4.226883526552904,6.3026,16.9904,28.083,62.617,94.3383,31.58,11.76,31.58
Convert a parse tree node into an absract syntax tree node .,Converts parse tree nodes to abstract syntax nodes based on their types.,4.997524637109212,5.2841,13.9508,27.027,69.6107,92.9468,26.09,9.52,26.09
Open the SolveBio shell ( IPython wrapper ) with IPython 5 +,Launches an IPython shell with a custom banner and initialization script.,4.9745382739291975,2.8425,12.8832,18.0723,64.6881,89.7622,31.58,0.0,21.05
Return a list with the current indexes Skip the mandatory _id_ indexes,"Retrieve a list of index names for the specified collection or all collections if none is specified, excluding the default '_id_' index.",4.824929159008238,3.4153,8.3748,44.0345,61.1059,85.6009,29.41,6.25,29.41
Parses the Xdot attributes of all graph components and adds the components to a new canvas .,Parses and redraws the graphical representation of nodes and edges on the canvas using xdot format.,4.977005354182243,2.5562,10.6822,21.875,64.8044,83.9167,43.75,0.0,37.5
Parses the dot_code string and replaces the existing model .,Parses the DOT data using a GodotDataParser instance and sets the parsed graph to the model attribute if the graph is not None.,4.991392518938438,6.4867,11.0167,30.9735,62.2745,84.075,36.36,12.9,36.36
Compute based on NeuralVariable .,Compute the output of a neural network layer or block given the inputs.,4.9795378378923205,1.8724,8.1825,10.2041,60.3027,89.0372,11.76,0.0,11.76
Sets the process environemnt and executes the [ COMMAND ] in the same context . Does not modify the current shell environment .,"Execute a command with environment variables from S3 configuration, handling section presence and mapping files.",4.092095789224305,1.6724,7.2052,10.7527,52.4325,95.432,17.65,0.0,11.76
