Reference,Summary,G-eval,BLEU,BLEU-CN,METEOR,BERTSCORE,SIDESCORE,ROUGE-1,ROUGE-2,ROUGE-L
Given an list of words this function highlights the matched text in the given string .,"Apply highlighting to parts of the string that match the given keywords, using a specified CSS class name.",4.510809194113757,4.1066,10.321,38.1667,59.0959,99.7732,30.3,6.45,24.24
Transform a 0 - D or 1 - D Tensor to be 1 - D .,"Expands a scalar to a vector or ensures input is a vector, with optional validation.",4.33168790420242,2.1836,9.2516,20.8333,56.313,53.2553,25.0,0.0,16.67
Handles display of the options menu .,Displays the options view in a live modal dialog if the instance is initialized.,4.722215468645727,4.1263,10.6947,22.0588,63.8729,-0.9194,20.0,11.11,20.0
The return value for each rule can be either retyped compressed or left alone . This method determines that and returns the source code text for accomplishing it .,"Determines the transformation to apply to a rule based on directives, supporting retype, compress, or identity transformations.",4.4497951397243645,1.173,4.9999,19.6581,52.2696,88.6634,18.18,0.0,13.64
Runs Picard MarkDuplicates on a BAM file . Requires that the BAM file be coordinate sorted .,Marks duplicates in a BAM file using Picard.,4.377873065283928,7.3948,14.1225,22.0717,66.7257,55.1336,34.78,19.05,26.09
Patch the three methods belonging to IPushProducer onto the transport if it doesn t already have them . ( Agent assumes its transport has these . ),"Patches the transport object to ensure it has pauseProducing, resumeProducing, and stopProducing methods, using loseConnection as a fallback for stopProducing.",4.83267106782885,3.3575,8.3894,15.4185,54.1577,99.9882,27.91,4.88,18.6
Takes a FunctionBody and optionally a FunctionType yielding the string representation of the function line by line . The function type is required for formatting function parameter and return value information .,"Generates formatted WebAssembly text format representation of a function, including parameters, results, locals, and instructions.",4.743927369694079,1.7893,4.8954,16.8278,59.6305,40.6617,22.22,4.65,17.78
Get summary and description of this notebook,"Extracts the header and description from the first markdown cell of a Jupyter notebook, and if not present, attempts to extract from the second markdown cell.",4.9813820642474695,2.7735,6.6642,22.4719,47.5972,11.2404,24.24,6.45,24.24
Indicate whether an input line has ( i . e . ends in or is ) a comment . This uses tokenize so it can distinguish comments from # inside strings .,Check if the source code contains any comments.,4.966015338389,0.3416,2.1004,2.1459,54.5319,20.5167,6.06,0.0,6.06
prefixed topic for IOPub messages,Constructs a byte-encoded topic string using either an internal ID or a kernel identifier.,4.32336035399794,1.6591,7.0297,8.3333,54.491,-16.2156,10.0,0.0,10.0
Attempts to list all of the modules and submodules found within a given directory tree . This function recursively searches the directory tree for potential python modules and returns a list of candidate names .,Recursively identifies and aggregates modules within a specified directory that contain an __init__.py file.,4.629080725383403,1.5333,4.2477,9.6154,55.4717,-65.9813,25.0,4.35,16.67
Filter key events for the underlying text widget to create a console - like interface .,"Handles key press events in the console, managing text editing, execution control, and navigation shortcuts.",4.95890196581958,2.481,10.5118,17.7305,61.1091,24.6261,34.48,0.0,27.59
Create a new code cell with input and output,Create a new code cell for a notebook with optional code content and prompt number.,4.93220082269184,26.7603,31.8236,36.4583,67.4862,-29.7588,58.33,36.36,58.33
Compute Area Under the Curve ( AUC ) from prediction scores .,"Calculate the ROC AUC score, handling exceptions by returning 0.",4.761211581382864,3.0602,14.4907,16.6667,56.0662,99.96,22.22,0.0,22.22
Crop an image given the top left corner .,"Crops the image to a specified rectangle, defined by starting coordinates and dimensions, and returns a copy.",4.998729527494575,1.7762,7.3279,16.8539,54.9473,99.9881,16.0,0.0,8.0
Produces a new game state in which the robots have advanced towards the player by one step . Handles the robots crashing into one another too .,"Advance all robots towards the player, handle crashes, and remove crashed robots.",4.858053582862771,4.0704,7.6744,16.8776,60.3313,99.913,27.03,11.43,27.03
Checks whether path belongs to standard library or installed modules .,Determines if a module path is within the site-packages directory or matches any standard library paths.,4.756657484169817,4.0945,10.3632,39.8494,69.4677,-24.6969,29.63,8.0,22.22
Check if table exists,Checks if a specified table exists in the given database.,4.912169279268442,6.3026,16.9904,81.5217,60.9326,-12.4988,42.86,16.67,42.86
Delete the vacation with name vacation,Deletes a specified vacation from a thermostat.,4.827104173876426,3.2359,16.1499,16.3934,56.8739,98.8791,15.38,0.0,15.38
Returns all transfers associated with the seed .,"Fetches a list of transfer transactions for a given seed between specified start and stop indexes, optionally including the state of each transfer.",4.7420878070057855,1.38,5.3485,23.2558,54.403,99.9706,13.33,0.0,6.67
Write the data encoding the QueryResponsePayload object to a stream .,"Writes KMIP query response data to an output buffer, adjusting content based on the specified KMIP version.",4.415624776331431,1.9657,8.1097,18.6916,58.4485,6.3546,22.22,0.0,14.81
Insert size bytes of empty space starting at offset .,"Inserts a specified number of null bytes into a file at a given offset, using mmap if available or manual byte shifting.",4.9381835518517,1.703,6.6603,24.2718,58.2965,98.7539,25.81,0.0,19.35
Takes a python cls and creates a type for it in the Dagster domain .,"Create a Dagster type from an existing Python type, with optional schema and serialization customization.",4.455273037860362,2.481,10.5118,30.2403,64.394,99.4803,34.48,0.0,20.69
The url on jupyter nbviewer for this notebook or None if unknown,"Returns the nbviewer link for the notebook if the URL is set, either directly or in the notebook's metadata.",4.722981091166391,4.0541,10.058,27.3438,58.3707,99.9619,43.75,6.67,31.25
Save a small version of the graph based on a checkpoint and the output node names .,"Extracts and saves the graph from a TensorFlow checkpoint to a specified file, optionally as text.",4.88886355995381,4.7935,12.2231,21.875,57.077,99.7477,37.5,6.67,25.0
Copy an existing notebook and return its notebook_id .,Creates a copy of the specified notebook with a new name and saves it.,4.90753097996508,2.3144,9.9526,21.0526,63.9227,-24.9825,26.09,0.0,26.09
Display debug information for the storage,"Function to debug storage details, writing information to standard error with options to include base info, characters, and runs.",4.744566861294723,1.7911,7.2189,20.5479,58.6783,99.654,24.0,0.0,16.0
Get alerts that match the alert type and args .,Filters and returns alerts of a specific type and matching arguments.,4.771643245927762,5.7446,15.3208,34.3071,61.1147,-31.379,30.0,11.11,30.0
Creates a full mapping from all wildcard translations to the corresponding wildcards,Creates or updates a reverse mapping from wildcard translations to index lists.,4.328918318767167,14.477,24.3842,52.8912,70.5333,-38.4738,58.33,27.27,58.33
Santizes the data for the given block . If block has a matching embed serializer use the to_internal_value method .,"Sanitizes a block by using the appropriate serializer for its type to process its data, or returns the block unchanged if no serializer is found.",4.9601832296216415,1.925,7.3375,26.8293,58.2314,99.9772,44.44,0.0,26.67
Set whether we stop or not when this signal is caught . If set_stop is True your program will stop when this signal happens .,Sets the stop flag for a signal and updates its message handling based on the provided condition.,4.403044645940626,1.1767,4.9669,6.4378,51.9508,41.0185,9.76,0.0,9.76
return a class by its name raise KeyError if not found,"Finds and returns a class by its name from the list of classes, raises KeyError if not found.",4.905881054630799,33.6802,37.4203,93.7345,78.5992,99.8333,62.07,51.85,62.07
Deletes items from the index with the given id within the specified coordinates .,Deletes a data entry from the spatial index based on its ID and coordinates.,4.87247603202095,5.4305,14.0751,22.9008,73.4896,33.9753,44.44,8.0,44.44
Trace the dependencies for app .,Executes a subprocess to trace dependencies of a given app and caches the result.,4.315548830417271,2.487,10.6947,33.8983,55.9857,-72.961,42.11,0.0,31.58
Return standard output of executing cmd in a shell .,"Executes a given command with UNC path handling and converts its output to a string, ensuring compatibility.",4.325340481019684,1.7762,7.3279,20.4082,53.2966,99.8258,15.38,0.0,15.38
Get Gnosis Safe Master contract . It should be used to access Safe methods on Proxy contracts .,"Retrieve a contract object for a Gnosis Safe using Web3, with specified address and predefined ABI and bytecode.",4.8708787326208665,3.6142,9.0836,12.3457,50.639,99.7534,17.65,6.25,11.76
Defines a list of headers that must be present in the outgoing request in order to satisfy the matcher no matter what value the headers hosts .,Adds a matcher to verify the presence of specified headers using regular expressions.,4.3951046511378165,1.0781,5.06,12.1457,59.3848,65.9387,30.77,0.0,20.51
Determines if a BoundMethod node represents a method call .,Check if the given function is a bound method of a specified type and has a name that matches one of the provided methods.,4.773570923694381,1.5839,6.0866,23.8095,59.0627,-3.178,24.24,0.0,18.18
Returns a batch of points chosen uniformly from the unit hypersphere .,Generates samples from a multivariate normal distribution and normalizes them to have a unit norm along the last dimension.,4.655253295754515,1.9246,7.7573,16.9492,59.1545,1.4849,26.67,0.0,13.33
Check if the given node is from a fallback import block .,Determines if a node is part of a try-except block that either handles fallback imports or specifically catches ImportError.,4.915489539082919,3.9008,9.6777,48.105,67.4246,-9.2221,38.71,6.9,32.26
Like : meth : Flask . before_request . Such a function is executed before each request even if outside of a blueprint .,Register a function to run before each request in the application.,4.839725497307444,7.0542,12.6395,24.5055,59.6559,-32.632,33.33,21.43,33.33
Fast CuDNN Bi - GRU implementation,"Defines a bidirectional GRU layer using cuDNN, supporting variable sequence lengths, optional multiple layers, and trainable initial states.",4.99347891300577,1.6932,6.9021,15.873,57.8441,99.9474,17.39,0.0,8.7
Generate an XML report of coverage results .,"Generates an XML coverage report, including data collection and output file handling.",4.7778000448011175,5.6782,14.9911,59.4667,71.6447,99.9524,42.11,11.76,31.58
Create a Python Layer base on the given java value and the real type .,Converts a BigDL Java class instance to its corresponding Python class and initializes a model object from it.,4.34926167110921,2.0136,8.208,13.8889,57.91,-28.5176,25.0,0.0,18.75
Resume playback on the user s account .,Resume playback on a specified device.,4.760612371344449,19.7879,34.4701,42.6731,72.7429,-14.8676,46.15,36.36,46.15
Attempt to get the access token from the environment .,"Retrieve the access token from the current or legacy environment variables, issuing a deprecation warning if a legacy variable is used.",4.8185921100032605,17.7939,21.5288,57.7342,63.9415,99.9832,40.0,28.57,40.0
Sanitize URL of a HTTP request by removing the token information before storing / retrieving archived items,"Sanitize the URL by replacing specific bot identifiers with 'botXXXXX', and return the modified URL along with the original headers and payload.",4.986165093492226,1.703,6.6603,12.0482,58.3991,99.9885,21.05,0.0,21.05
Remove a websocket subscriber .,Remove a websocket subscriber from all subscribed events.,4.830243866384944,34.5721,43.4721,90.1989,85.6817,46.36,66.67,60.0,66.67
Backward update for a Kalman smoother .,Performs backward smoothing update in a Kalman filter sequence to refine state estimates.,4.910016565018041,5.2622,13.7612,47.1082,69.9249,-0.4751,42.11,11.76,42.11
Plot training set ( and validation set if available ) scoring history for an H2OBinomialModel .,"Plots the performance metric of a model over time, automatically selecting 'logloss' for specific algorithms unless a different metric is specified.",4.903030763500428,1.2518,4.9425,6.8027,47.6637,99.9727,5.71,0.0,5.71
Create the python script from the notebook node,"Convert a Jupyter notebook to a Python script, adjusting logging level and cleaning magic commands.",4.839553666781671,4.2807,11.0021,29.3742,59.2139,70.1952,26.09,9.52,17.39
Removes all points in the fronts that overlap with the segmentation mask .,"Removes overlapping areas between segmentation mask and fronts, setting overlaps in fronts to 0.",4.825849262681442,5.5641,14.5507,35.2388,65.312,99.9823,40.0,8.7,24.0
This will exclude all of the modules from the traceback,Add specified modules to the skip list and override traceback's extract_tb method.,4.308316496655285,2.3144,9.9526,14.4231,56.0651,99.9879,25.0,0.0,25.0
Returns initializer configuration as a JSON - serializable dict .,"Return a dictionary containing serialized initializers, layer sizes, and a flag indicating whether to validate arguments.",4.95342925763258,1.5715,6.5673,17.0455,56.0007,-54.3604,8.33,0.0,8.33
Given a URL set or replace a query parameter and return the modified URL .,Set or replace a query parameter in a URL and return the modified URL.,4.952138801999313,65.9692,68.8334,88.2925,84.1436,-0.5661,92.86,76.92,78.57
Plot alpha versus the ks value for derived alpha . This plot can be used as a diagnostic of whether you have derived the best fit : if there are multiple local minima your data set may be well suited to a broken powerlaw or a different function .,"Plots alpha values against KS statistics with error bars, offering an optional zoom feature.",4.755190615656129,0.2127,1.0652,4.6729,50.4328,99.9476,6.67,0.0,6.67
PUTs the container and returns the results . This is usually done to create new containers and can also be used to set X - Container - Meta - xxx headers . Note that if the container already exists any existing X - Container - Meta - xxx headers will remain untouched . To remove an X - Container - Meta - xxx header send the header with an empty string as its value .,"Send a PUT request to create or update a container with optional headers, query parameters, and body content.",4.649837306475381,0.3876,1.1079,6.9444,51.0316,99.9892,17.5,2.56,10.0
Compute exponentially weighted moving { mean variance } of a streaming value .,Updates moving mean and variance variables with new values.,4.390687736486097,6.2598,17.256,31.8813,58.8228,22.0517,31.58,11.76,31.58
Decoding using the dot product .,"Calculates the dot product between the transposed input images and feature images, and then transposes the result.",4.667258898733584,7.386,12.6923,41.2186,59.5493,99.9888,27.27,20.0,27.27
Decode the data passed in and potentially flush the decoder .,"Decompresses data if decode_content is True using the appropriate decoder, handles potential decompression errors, and flushes the decoder if requested.",4.8722804186045545,3.7301,9.199,56.8694,63.6237,99.9897,38.71,6.9,32.26
Gets tweets for a given user via the Twitter frontend API .,"Scrapes a specified number of pages of tweets from a user's Twitter timeline and yields structured data including tweet ID, timestamp, text, replies, retweets, likes, and media entities such as hashtags, URLs, photos, and videos.",4.992924136586459,1.1295,4.0131,14.8148,57.6816,-0.1859,17.02,0.0,17.02
Generator for the lines of a compressed info ( textual ) response .,"Generates decompressed and decoded data from yEnc encoded input, handling errors related to yEnc headers, decompression, and CRC validation.",4.83065421317295,0.0,0.0,4.5872,51.5019,99.8624,0.0,0.0,0.0
Generate recursive Python Attribute AST nodes for resolving nested names .,Recursively constructs an AST node for accessing a nested attribute based on a dot-separated string.,4.361270480128119,2.2225,9.2875,48.218,72.3245,-34.0099,30.77,0.0,23.08
Open the HTML document in a web browser saving it to a temporary file to open it . Note that this does not delete the file after use . This is mainly meant for debugging .,Converts an XML/HTML document to a temporary HTML file and opens it in the default web browser.,4.814509469361072,4.9855,8.535,30.0595,67.1061,99.9186,43.14,16.33,31.37
r Return True if at least one GPU is available,Check if a GPU is available for TensorFlow sessions and cache the result.,4.75338130162758,10.4571,18.1108,36.4078,58.9517,-34.065,34.78,19.05,34.78
Get crate data,Fetches and returns data for a specific crate by its ID.,4.975469046004549,2.5685,11.6413,39.4737,45.5921,-52.739,28.57,0.0,14.29
Get current learning rates .,Retrieve the current learning rates from the optimizer's parameter groups.,4.972300131861831,11.6095,20.1633,62.6478,68.3888,99.9648,40.0,30.77,40.0
** Description ** Deletes a team from Sysdig Monitor .,"Deletes a specified team by name, handling errors and returning the operation status.",4.403632798169209,4.897,12.8063,33.6257,48.4388,95.6589,30.0,11.11,30.0
Downloads and parses the price,"Retrieves and returns the financial price for a given symbol using a specified data source and currency, with error handling for unsuccessful attempts.",4.836343553979521,1.5272,5.9191,22.0588,56.3406,99.8714,21.43,0.0,21.43
Create message content and properties to purge queue with QMFv2,"Creates and logs a request to purge a specified queue, returning the request content and method properties.",4.64853279850272,5.3887,12.6923,53.4999,62.6832,25.0783,44.44,16.0,29.63
Returns the movement vector according to held buttons and the rotation .,Calculate and return the motion vector based on the actor's rotation and movement direction.,4.712173998362942,2.5967,11.0021,42.0695,71.8274,99.9682,46.15,0.0,30.77
Load from a file into the target table handling each step of the load process .,"Loads data from a file into a table, handling various configurations such as delimiters, null representation, and date parsing.",4.879143460617005,15.0717,20.0914,37.172,60.5485,-25.1954,35.29,25.0,35.29
Fetch additional data under * index * .,Fetch more children for the item at the given index and update the model accordingly.,4.423812505754984,1.9731,8.3598,16.6667,54.9852,-12.6668,20.0,0.0,20.0
Updates the suggestions dictionary for an object upon visiting its page,Record and update the objects viewed by a user for recommendation purposes.,4.012871883950268,2.3838,10.6003,28.4347,56.0437,88.7518,17.39,0.0,17.39
Use parse_version from pkg_resources or distutils as available .,"Import and use the best available function to parse a version string, with a fallback option if the preferred library is not available.",4.841624026076275,1.6411,6.3605,17.6991,54.4194,99.975,24.24,0.0,24.24
Attempt to sum MultivariateNormal distributions .,Sums a list of MultivariateNormalDiag distributions to create a new MultivariateNormalDiag distribution.,4.928299586245488,2.3838,10.6003,26.3158,71.0558,-13.2874,23.53,0.0,11.76
Apply crz from ctl to tgt with angle theta .,"Appends a controlled-RZ gate with a specified angle theta to the quantum circuit, targeting the specified control and target qubits.",4.964926066877816,3.3705,8.3122,30.9436,56.743,99.7588,26.67,7.14,20.0
Build an xsd simpleType out of a S_CDT .,Maps specific data types to their corresponding XML schema simpleType elements with restrictions.,4.326028000307065,1.8724,8.1825,5.3191,53.3792,-42.3339,9.09,0.0,9.09
Apply filters to deprecation warnings .,Suppresses deprecation warnings specifically from qiskit and ignores warnings related to changes in Marshmallow 3.,4.7505029928244005,4.5665,11.8357,25.4237,64.0937,-23.0343,31.58,11.76,21.05
builds a list of input files from command - line arguments,"Generates a list of file paths from command line arguments or provided list, expanding wildcards and filtering out non-existent files.",4.874394721248881,17.0011,21.879,63.2742,72.4151,96.8257,51.61,34.48,45.16
Like pairwise except returns n - tuples of adjacent items . s - > ( s0 s1 ... sn ) ( s1 s2 ... s ( n + 1 )) ...,Generate an iterator that yields consecutive n-tuples from the input iterable.,4.386545017963231,3.1477,8.581,9.0909,51.1304,-23.0764,13.79,7.41,13.79
\ Respond to periodic PING messages from server,Logs a ping request and sends back a 'PONG' response with the original payload.,4.984909030488681,1.7585,7.5623,6.4935,52.1734,99.9824,9.52,0.0,9.52
Create and return a new instance in the metamodel of some * kind * . Optionally initial attribute values may be assigned to the new instance by passing them as positional or keyword arguments . Positional arguments are assigned in the order in which they appear in the metaclass .,Create a new instance of a specified type using the associated metaclass.,4.745388783482528,0.8363,1.7924,11.501,59.6798,-50.6208,24.56,7.27,24.56
Parse a StackExchange API raw response .,Yield individual questions extracted from a JSON-formatted raw page of questions.,4.930050489160316,2.3838,10.6003,15.1515,56.2997,-49.1815,22.22,0.0,22.22
Enable or disable automatic rate - limit handling .,Set the behavior for rate limit waiting.,4.465227365389845,8.1939,22.8395,26.7857,66.8643,53.9366,28.57,16.67,28.57
Input text short or long . Writes in order within the defined page boundaries . Sequential add_text commands will print without additional whitespace .,"Add text to a PDF page with optional cursor position and text justification, handling newlines as separate text elements.",4.529326286005697,3.1553,7.94,9.2166,56.5795,99.6966,19.51,5.13,14.63
Write the data required by PrecalculatedTextMeasurer to a stream .,"Generate and write font metrics to a JSON file, including mean character length, individual character lengths, kerning characters, and kerning pairs.",4.942008114859979,3.1366,7.7354,25.0545,53.5131,6.5175,20.0,7.14,20.0
Convert a parse tree node into an absract syntax tree node .,Converts a parse tree node into an abstract syntax node (ASN) based on the node type.,4.89360201600607,32.3772,36.5555,66.6667,73.8056,96.7742,59.26,40.0,59.26
Open the SolveBio shell ( IPython wrapper ) with IPython 5 +,Starts a customized IPython shell session with a specific initialization file and warning for nested sessions.,4.393755829528379,2.0682,8.643,17.0455,59.1815,-56.4545,25.0,0.0,16.67
Return a list with the current indexes Skip the mandatory _id_ indexes,"Retrieve a list of index names for the specified collection, excluding the default '_id_' index.",4.506295769202784,4.8638,12.5008,46.5406,65.9126,99.8225,37.04,8.0,37.04
Parses the Xdot attributes of all graph components and adds the components to a new canvas .,Parses and adds xdot drawing attributes for nodes and edges to the canvas and requests a redraw.,4.428269092504294,5.0147,12.6923,27.9503,70.4515,-23.602,54.55,6.45,36.36
Parses the dot_code string and replaces the existing model .,Parses the DOT code using a custom parser and assigns the resulting graph to the model attribute if parsing is successful.,4.759507639120879,13.0766,17.7939,47.9307,65.3755,-72.1502,45.16,20.69,45.16
Compute based on NeuralVariable .,Execute a neural network computation with given inputs and return the processed output as a NeuralVariable or a list of NeuralVariables.,4.310665282313671,1.2518,4.9425,17.5439,63.1272,-54.9318,8.0,0.0,8.0
Sets the process environemnt and executes the [ COMMAND ] in the same context . Does not modify the current shell environment .,"Executes a specified command using environment variables from an S3 configuration, with optional section and file mapping support.",4.100624291619061,1.9048,7.7872,10.582,55.9205,25.2579,21.62,0.0,16.22
