Reference,Summary,G-eval,BLEU,BLEU-CN,METEOR,BERTSCORE,SIDESCORE,ROUGE-1,ROUGE-2,ROUGE-L
Compute Area Under the Curve ( AUC ) from prediction scores .,"Calculates the ROC AUC score from true binary labels and prediction scores, returning 0 on ValueError .",4.651519454735477,4.8638,12.5008,38.75,63.2583,97.9395,41.67,9.09,41.67
Crop an image given the top left corner .,"Crops the image `img` to a rectangle of height `h` and width `w` starting from (start_y, start_x) and returns a new image .",4.998928908080215,1.3319,5.1182,20.8333,51.1916,99.2663,12.5,0.0,6.25
Produces a new game state in which the robots have advanced towards the player by one step . Handles the robots crashing into one another too .,"Updates the positions of robots, handles collisions by merging duplicates, and removes crashed robots from the active list .",4.561596386817315,1.5104,6.2843,16.4609,52.3965,88.4123,27.91,0.0,18.6
Checks whether path belongs to standard library or installed modules .,Checks if the given `module_path` is within the 'site-packages' directory or matches any of the standard library paths .,4.971545903172279,3.727,9.2465,38.7626,64.3963,98.7273,33.33,7.14,26.67
Check if table exists,Checks if the specified table exists in the database by attempting to retrieve it and returns a boolean result .,4.991486838287752,3.4385,8.5848,68.1818,52.587,87.0458,26.09,9.52,26.09
Delete the vacation with name vacation,Deletes a vacation with the specified name from the thermostat at the given index by sending a request to the thermostat's API .,4.887921418107094,3.1014,7.5639,32.4675,56.0188,99.7757,27.59,7.41,20.69
Returns all transfers associated with the seed .,"Retrieves a list of transfer transactions for a given seed, optionally filtered by start and stop indexes and including the state of each transfer .",4.90029482969103,1.3319,5.1182,22.9885,55.4125,86.6525,12.9,0.0,6.45
Write the data encoding the QueryResponsePayload object to a stream .,"Writes the QueryResponsePayload content to an output buffer, handling various KMIP versions and including conditional serialization of different payload components .",4.357422730494203,3.2802,8.138,28.6932,72.0411,83.3174,20.0,7.14,20.0
Insert size bytes of empty space starting at offset .,"Inserts a specified number of zero bytes into a file at a given offset, using memory mapping if available, or a manual byte-shifting method as a fallback .",4.825579211819349,1.3929,5.1922,22.9358,56.2987,96.082,21.62,0.0,16.22
Takes a python cls and creates a type for it in the Dagster domain .,Creates a Dagster type by decorating an existing Python type with optional metadata and serialization strategies .,4.281519510229196,4.7935,12.2231,30.0274,64.9582,91.5445,40.0,7.14,20.0
The url on jupyter nbviewer for this notebook or None if unknown,Returns a nbviewer formatted link to the notebook if a URL is set in the metadata or instance variable .,4.3146295405191895,2.1299,8.5848,23.622,55.3811,93.1249,38.71,0.0,19.35
Save a small version of the graph based on a checkpoint and the output node names .,"This function saves the graph structure from a TensorFlow checkpoint to a specified file, with options for text format and specific node names .",4.982833938516791,4.3861,9.9547,34.9671,59.9543,84.6437,41.03,10.81,35.9
Copy an existing notebook and return its notebook_id .,"Creates a copy of the specified notebook by appending '-Copy' to its name, ensuring a unique filename, and saving the new notebook with an updated ID .",4.937012399907581,1.7042,6.4454,32.7103,61.1258,97.1665,40.0,0.0,28.57
Display debug information for the storage,"This function `debug_storage` writes debugging information about a storage object to standard error, with options to include base info, character data, and run data, and has special handling for Python 2 encoding issues .",4.221386084405017,1.2146,4.3866,22.9885,57.3888,83.2638,20.51,0.0,15.38
Get alerts that match the alert type and args .,Returns a list of alerts of a specific type where the optional `alert_args` are a subset of the alert's arguments .,4.867175609261127,3.4153,8.3748,36.1165,56.7496,90.9265,32.26,6.9,25.81
Creates a full mapping from all wildcard translations to the corresponding wildcards,Initializes or updates the `_reversed_wildcards` dictionary with indices and wildcard patterns based on the current length of the object and the provided `old_length` .,4.066281023347464,1.4247,5.4303,11.2782,53.2124,93.0686,16.22,0.0,10.81
Santizes the data for the given block . If block has a matching embed serializer use the to_internal_value method .,"Ensures the data within a block is properly sanitized by applying a type-specific serializer, if available, before returning the block .",4.814554717353391,4.0083,9.8849,19.9005,58.9293,87.266,39.02,5.13,29.27
Set whether we stop or not when this signal is caught . If set_stop is True your program will stop when this signal happens .,"Sets the stop flag for a signal and updates its print method and pass-along behavior based on the `set_stop` parameter, then returns the `set_stop` value .",4.779263883772243,2.8694,6.8333,14.3443,53.4186,95.1366,23.08,4.0,19.23
return a class by its name raise KeyError if not found,"Searches for a class with the specified name in the collection and returns it if found, otherwise raises a KeyError .",4.97708360807512,3.9008,9.6777,37.8151,63.438,82.7637,38.71,6.9,32.26
Deletes items from the index with the given id within the specified coordinates .,Deletes the data with the specified `id` within the given `coordinates` from the index using the `Index_DeleteData` method .,4.52108868006937,15.1855,22.5965,54.2535,74.7411,97.376,75.0,46.67,50.0
Trace the dependencies for app .,"Executes a subprocess to trace app dependencies, caching the results, and raises `TraceError` on failure .",4.627508312654909,2.3464,9.9415,33.3333,52.8429,83.1751,40.0,0.0,20.0
Return standard output of executing cmd in a shell .,"Executes a command in a non-UNC path context, returning its output as a string, with fallback to an empty string if no output is generated .",4.493568588250121,2.581,6.2017,23.3645,54.3094,78.8156,17.14,6.06,11.43
Get Gnosis Safe Master contract . It should be used to access Safe methods on Proxy contracts .,Returns a contract object for interacting with a Gnosis Safe at a given address using the provided Web3 instance .,4.976342063431922,3.4385,8.5848,12.2699,52.9061,86.2364,17.14,6.06,11.43
Defines a list of headers that must be present in the outgoing request in order to satisfy the matcher no matter what value the headers hosts .,Checks if specified headers are present and adds a corresponding matcher to validate them using regular expressions .,4.173788329284943,1.3154,5.5888,16.9876,56.8118,83.6552,23.26,0.0,13.95
Determines if a BoundMethod node represents a method call .,Checks if `func` is a bound method of an instance of any type in `types` (if provided) and if the method name is in `methods` (if provided) .,4.93863332902896,1.3362,5.0161,29.2245,59.1614,95.2237,16.67,0.0,16.67
Returns a batch of points chosen uniformly from the unit hypersphere .,"Generates a tensor of the given shape with vectors on the last axis having a uniform unit norm, using the specified data type and random seed .",4.76270203081705,1.4817,5.6039,20.0,58.9831,86.3954,21.62,0.0,21.62
Check if the given node is from a fallback import block .,Checks if the given AST node is within a try-except block that handles ImportError or contains fallback imports .,4.586927086535975,9.3359,15.5145,79.4492,74.2203,96.2618,53.33,21.43,46.67
Like : meth : Flask . before_request . Such a function is executed before each request even if outside of a blueprint .,Registers a function to be run before each request in a Flask application .,4.938208730721841,8.3898,14.5816,34.4942,63.8722,74.9185,43.75,20.0,37.5
Fast CuDNN Bi - GRU implementation,"Initializes a bidirectional CuDNN GRU layer with specified number of units, hidden state size, sequence lengths, layer count, and options for trainable initial states and reuse .",4.119321347628862,1.2459,4.7123,14.0845,57.3635,68.4771,12.9,0.0,12.9
Generate an XML report of coverage results .,"Generates an XML report for the given modules or files, handling output streams and exceptions during report creation .",4.12259402433538,6.971,11.9547,46.2963,62.3356,89.9985,24.0,17.39,24.0
Create a Python Layer base on the given java value and the real type .,"This function resolves a Java value to its corresponding Python class within the BigDL library, dynamically importing the required module and creating an instance of the model or layer .",4.112670913139489,2.9866,7.0827,37.6742,58.891,66.3452,37.21,4.88,23.26
Resume playback on the user s account .,"Initiates playback on the specified device, or the default device if none is provided, in an asynchronous manner .",4.503746510365142,6.971,11.9547,31.5501,54.5643,96.8491,24.0,17.39,24.0
Attempt to get the access token from the environment .,"Retrieves the current access token from environment variables, with a deprecation warning for legacy variables .",4.480264617402972,9.5352,16.4519,46.4583,66.8789,94.2958,41.67,18.18,41.67
Sanitize URL of a HTTP request by removing the token information before storing / retrieving archived items,"Removes specific bot-related patterns from the URL for privacy before archiving, while leaving headers and payload unchanged .",4.581820997598923,1.8739,7.6384,15.4321,55.9207,88.2885,17.65,0.0,11.76
Remove a websocket subscriber .,Removes a WebSocket connection from the subscribers list and unsubscribes it from all available events .,4.974710595863254,3.8681,9.9415,73.5294,71.5897,93.0366,21.05,11.76,21.05
Backward update for a Kalman smoother .,Performs a backward smoothing update step in a Kalman filter by adjusting the mean and covariance estimates based on the next time step's posterior estimates and the transition dynamics .,4.868948249150076,2.4354,5.7521,37.5744,59.4007,99.5552,22.22,5.88,22.22
Plot training set ( and validation set if available ) scoring history for an H2OBinomialModel .,"Plots the specified metric over time for certain model types, defaulting to logloss if the metric is set to AUTO .",4.455638820778336,1.716,6.8432,13.6986,48.5016,47.6977,17.65,0.0,5.88
Create the python script from the notebook node,"This function checks the `nbconvert` version and sets the Python file name accordingly, then converts a Jupyter notebook to a Python file, cleans up magic commands, and writes the cleaned content back to the file .",4.207738552942388,2.1179,4.9118,18.6916,53.0763,69.8635,18.6,4.88,13.95
Removes all points in the fronts that overlap with the segmentation mask .,"Removes overlapping areas in `fronts` where `segmentation_mask` and `fronts` both have non-zero values, setting the overlaps in `fronts` to zero .",4.974252266467767,3.5746,8.7654,36.8917,59.2336,97.4106,35.29,6.25,29.41
This will exclude all of the modules from the traceback,Adds the specified modules to the SKIPPED_MODULES list if they are not already present and overrides traceback.extract_tb with a new function .,4.321548732784304,1.5839,6.0866,17.5439,53.6973,78.6192,23.53,0.0,23.53
Returns initializer configuration as a JSON - serializable dict .,"Returns a dictionary containing serialized initializers, layer sizes, and a flag indicating whether to validate arguments for the configuration of the current object .",4.930445775592734,1.5272,5.9191,21.0526,57.4631,52.8314,19.35,0.0,12.9
Given a URL set or replace a query parameter and return the modified URL .,Updates the query parameter 'param_name' with 'param_value' in the given 'url' and returns the modified URL .,4.991264885854691,9.8584,16.416,59.7565,66.0906,60.3813,50.0,20.0,37.5
Plot alpha versus the ks value for derived alpha . This plot can be used as a diagnostic of whether you have derived the best fit : if there are multiple local minima your data set may be well suited to a broken powerlaw or a different function .,"Plots the KS statistic against alpha values with optional auto-zoom functionality and error bars, returning the axis object .",4.836401461718707,0.8922,2.3915,11.076,51.4368,88.878,12.31,3.17,12.31
PUTs the container and returns the results . This is usually done to create new containers and can also be used to set X - Container - Meta - xxx headers . Note that if the container already exists any existing X - Container - Meta - xxx headers will remain untouched . To remove an X - Container - Meta - xxx header send the header with an empty string as its value .,"Adds or updates a container by sending a PUT request to the specified container path with optional headers, query parameters, and body content .",4.82197416386547,0.3463,1.4405,7.7453,51.3935,92.7741,16.47,0.0,11.76
Compute exponentially weighted moving { mean variance } of a streaming value .,Updates the moving mean and variance variables with new values using exponential decay .,4.446114944694136,4.897,12.8063,36.1165,61.1698,86.8836,26.09,9.52,26.09
Decoding using the dot product .,"Calculates the dot product between the transposed matrix of images to decode and the feature images, then transposes the result .",4.956838318272439,6.2703,10.7102,48.5577,63.3503,91.0628,24.0,17.39,24.0
Decode the data passed in and potentially flush the decoder .,"Decompresses encoded data using the set decoder, handling potential decompression errors and flushing the decoder if required .",4.267311581140231,4.3294,10.9578,58.9953,68.4272,79.9586,37.04,8.0,29.63
Gets tweets for a given user via the Twitter frontend API .,"Fetches and yields tweets from a specified user's timeline on Twitter, handling pagination and extracting tweet details such as text, interactions, and media .",4.503131952409327,1.5839,6.0866,20.3252,64.4795,96.7964,22.86,0.0,22.86
Generator for the lines of a compressed info ( textual ) response .,"Generates and yields decompressed data from yEnc-encoded input, validating headers, trailers, and CRC32 checksums .",4.877947876271995,0.0,0.0,4.7619,51.5365,90.2086,0.0,0.0,0.0
Generate recursive Python Attribute AST nodes for resolving nested names .,"Generates an AST (Abstract Syntax Tree) `Attribute` node from a dotted attribute string, applying the specified context to the last attribute .",4.886409401739566,1.4887,5.8776,18.018,55.5761,47.2365,12.9,0.0,6.45
Open the HTML document in a web browser saving it to a temporary file to open it . Note that this does not delete the file after use . This is mainly meant for debugging .,Opens an XML/HTML document in the default web browser after writing it to a temporary file .,4.150027459872864,12.8498,15.6054,36.4617,69.0505,93.7902,48.0,29.17,40.0
r Return True if at least one GPU is available,"Checks if a GPU is available for TensorFlow, setting a global flag accordingly, and handles potential attribute errors by assuming no GPU is available .",4.601557603810862,5.6191,9.526,32.8947,56.7174,88.3758,23.53,12.5,23.53
Get crate data,Retrieves and parses the JSON data for a specific crate identified by `crate_id` from a client service .,4.749378932649763,1.6932,6.9021,22.2222,42.0279,83.2443,19.05,0.0,9.52
Get current learning rates .,"Returns a list of current learning rates from the optimizer's parameter groups if the optimizer exists, otherwise raises a RuntimeError indicating the optimizer is not set .",4.994943074400609,4.6549,7.8507,46.7372,55.3036,95.4033,19.35,13.79,19.35
** Description ** Deletes a team from Sysdig Monitor .,"Deletes the team with the specified name after retrieving it, returning the result of the deletion attempt .",4.196314697839336,1.7762,7.3279,12.5,50.712,99.652,16.67,0.0,16.67
Downloads and parses the price,"Fetches and adds the current price of the specified symbol using the given currency and agent, raising an error if the price cannot be retrieved or parsed .",4.26408215207578,2.4128,5.7461,43.2363,57.3896,79.7881,18.18,6.45,18.18
Create message content and properties to purge queue with QMFv2,Sends a request to purge all messages from the specified queue in the Apache Qpid broker .,4.703840401027454,4.0308,10.2783,29.7759,60.8609,88.1066,23.08,8.33,23.08
Returns the movement vector according to held buttons and the rotation .,Calculates and returns the motion vector for an actor based on its current rotation and movement direction .,4.516186294528372,4.5313,11.4688,25.8621,68.9718,98.5706,42.86,7.69,28.57
Load from a file into the target table handling each step of the load process .,"Loads data from a file into a table, handling various data types and delimiters, with error checking and optional date parsing .",4.041135384655945,13.5205,18.1035,36.6954,58.4471,94.2159,33.33,23.53,33.33
Fetch additional data under * index * .,"Fetches and inserts additional children into the item at the given index if more can be fetched, updating the model accordingly .",4.553429035482816,1.4887,5.8776,22.7273,53.223,84.6403,15.38,0.0,15.38
Updates the suggestions dictionary for an object upon visiting its page,Tracks and updates the user's viewed objects for personalized suggestions .,3.72847854304546,6.1729,16.4632,33.8182,55.301,89.5101,36.36,10.0,27.27
Use parse_version from pkg_resources or distutils as available .,"Attempts to import `parse_version` from `pkg_resources`, falls back to `LooseVersion` from `distutils.version` if unavailable, and returns the parsed version object .",4.856443298727443,16.1339,19.5908,37.7335,70.64,97.3392,36.36,25.81,36.36
Attempt to sum MultivariateNormal distributions .,"Sums a list of MultivariateNormalDiag distributions, raising NotImplementedError for other types .",4.466047477618429,2.1598,9.7891,17.8571,62.6074,93.3893,12.5,0.0,12.5
Apply crz from ctl to tgt with angle theta .,"Adds a controlled-Z rotation gate with an angle `theta` to the quantum circuit, with `ctl` as the control qubit and `tgt` as the target qubit .",4.988553427722655,3.0694,7.3751,39.8494,58.1145,88.7775,34.29,6.06,17.14
Build an xsd simpleType out of a S_CDT .,"This function maps a custom data type to an XML schema simple type, returning an XML element representing the mapped type if applicable .",4.524218304421593,1.38,5.3485,9.6154,52.4032,91.3882,12.5,0.0,6.25
Apply filters to deprecation warnings .,Sets up filters to always display deprecation warnings originating from the 'qiskit' package and ignore warnings categorized as 'ChangedInMarshmallow3Warning' .,4.656902133849169,4.1917,9.6777,48.5577,59.8454,77.4199,32.0,17.39,32.0
builds a list of input files from command - line arguments,"This function constructs a list of file paths from command-line arguments or a provided list, expanding wildcards and filtering out non-existent files .",4.9794802456888245,14.7282,19.052,67.2515,71.5526,91.4101,47.06,31.25,41.18
Like pairwise except returns n - tuples of adjacent items . s - > ( s0 s1 ... sn ) ( s1 s2 ... s ( n + 1 )) ...,Generates overlapping n-tuples from an input iterable .,4.044071925747102,2.3124,7.2254,6.2112,54.2173,62.008,16.0,8.7,16.0
\ Respond to periodic PING messages from server,Responds to a ping request by logging the payload and sending back a 'PONG' response with the payload .,4.99056306165636,1.6932,6.9021,31.5501,49.9688,97.438,16.0,0.0,16.0
Create and return a new instance in the metamodel of some * kind * . Optionally initial attribute values may be assigned to the new instance by passing them as positional or keyword arguments . Positional arguments are assigned in the order in which they appear in the metaclass .,Creates a new instance of the specified `kind` using the associated metaclass and additional arguments and keyword arguments provided .,4.931524656307273,2.6295,4.6793,18.6028,61.1521,88.0533,37.5,9.68,25.0
Parse a StackExchange API raw response .,Extracts and yields individual questions from a JSON-formatted string containing a collection of questions under the 'items' key .,4.9749788322951325,1.3609,5.4852,6.8493,51.5439,80.6843,8.0,0.0,8.0
Enable or disable automatic rate - limit handling .,"Sets the `_wait_on_rate_limit` attribute to the specified boolean value, ensuring the input is of type bool and not None .",4.740910612444593,2.7161,6.6603,22.0588,48.348,85.5037,13.79,7.41,13.79
Input text short or long . Writes in order within the defined page boundaries . Sequential add_text commands will print without additional whitespace .,"Adds the provided text to a PDF page, handling cursor positioning, text justification, and newline characters .",4.779944628967267,1.5275,6.5256,11.6822,55.0014,97.7307,21.05,0.0,15.79
Write the data required by PrecalculatedTextMeasurer to a stream .,"Writes a JSON file containing mean character length, individual character lengths, kerning characters, and kerning pairs, based on the specified font and encodings .",4.928242680783455,1.38,5.3485,14.4231,51.6544,90.63,12.5,0.0,6.25
Convert a parse tree node into an absract syntax tree node .,Converts a parse tree node into an Abstract Syntax Notation (ASN) object based on the node's type .,4.6044504527582575,28.4333,32.3065,70.3282,70.2913,93.3085,55.17,37.04,55.17
Open the SolveBio shell ( IPython wrapper ) with IPython 5 +,Initializes and starts an embedded IPython shell with a custom banner and initialization file for the SolveBio Python environment .,4.07635243505242,3.9069,9.7542,40.8791,64.8853,78.803,37.04,8.0,14.81
Return a list with the current indexes Skip the mandatory _id_ indexes,"Returns a list of index names for the specified collection or all collections if no specific collection is provided, excluding the default '_id_' index .",4.853834590891218,3.1544,7.6534,53.2079,61.0282,87.3458,27.78,5.88,27.78
Parses the Xdot attributes of all graph components and adds the components to a new canvas .,"Recreates the canvas by parsing and adding xdot attributes for all nodes and edges, then requests a redraw of the visual presentation .",4.476970646557119,3.9559,9.7005,38.2831,66.7333,99.0311,47.37,5.56,31.58
Parses the dot_code string and replaces the existing model .,"Initializes a parser for Godot data, parses the `dot_code` attribute, and sets the `model` attribute to the resulting graph if parsing is successful .",4.905987762713455,11.3284,15.4947,46.6694,65.7109,59.3048,41.18,18.75,41.18
Compute based on NeuralVariable .,"This function initializes and computes the output of a neural network layer, ensuring inputs are NeuralVariables and handling parameter linking within a computation graph .",4.09159020550626,0.0,0.0,16.6667,57.9798,91.3586,0.0,0.0,0.0
Sets the process environemnt and executes the [ COMMAND ] in the same context . Does not modify the current shell environment .,"Executes a specified command within a given configuration section, handling S3 mappings and environment setup .",4.044360182962972,1.7972,7.7424,10.7527,56.1208,97.8955,23.53,0.0,17.65
